CEF,NE,CM,NM,AGEB,CMZ,PT,PF,PM,P_0_2,PF_0_2,PM_0_2,P_3_MAS,PF_3_MAS,PM_3_MAS,P_5_MAS,PF_5_MAS,PM_5_MAS,P_12_MAS,PF_12_MAS,PM_12_MAS,P_15_MAS,PF_15_MAS,PM_15_MAS,P_18_MAS,PF_18_MAS,PM_18_MAS,P_3_5,PF_3_5,PM_3_5,P_6_11,PF_6_11,PM_6_11,P_8_14,PF_8_14,PM_8_14,P_12_14,PF_12_14,PM_12_14,P_15_17,PF_15_17,PM_15_17,P_18_24,PF_18_24,PM_18_24,PF_15_49,P_60_MAS,PF_60_MAS,PM_60_MAS,RMF,P_0_14,P_15_64,P_65_100,THC,HCRF,HCRM,PHC,PHCRF,PHCRM
19,Nuevo León,46,San Nicolás de los Garza,42,1,55,28,27,NaN,0,NaN,53,28,25,52,27,25,49,26,23,48,25,23,48,25,23,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,0,0,0,0,9,3,6,12,16,9,7,96.43,7,35,13,15,5,10,55,23,32
19,Nuevo León,46,San Nicolás de los Garza,42,2,38,18,20,NaN,NaN,0,37,17,20,36,17,19,35,17,18,32,16,16,32,16,16,NaN,0,NaN,NaN,0,NaN,3,NaN,NaN,3,NaN,NaN,0,0,0,3,0,3,6,13,8,5,111.11,6,23,9,15,4,11,38,9,29
19,Nuevo León,46,San Nicolás de los Garza,42,3,36,19,17,NaN,NaN,0,35,18,17,35,18,17,33,16,17,33,16,17,33,16,17,0,0,0,NaN,NaN,0,NaN,NaN,0,0,0,0,0,0,0,4,NaN,NaN,7,15,7,8,89.47,3,24,9,13,NaN,12,36,NaN,34
19,Nuevo León,46,San Nicolás de los Garza,42,4,38,21,17,NaN,NaN,0,37,20,17,36,20,16,27,16,11,23,14,9,22,13,9,3,NaN,NaN,7,3,4,9,4,5,4,NaN,NaN,NaN,NaN,0,NaN,NaN,0,8,8,6,NaN,80.95,15,16,7,7,3,4,38,16,22
19,Nuevo León,46,San Nicolás de los Garza,42,5,13,6,7,0,0,0,13,6,7,13,6,7,13,6,7,13,6,7,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,3,NaN,NaN,116.67,0,12,NaN,6,NaN,4,13,3,10
19,Nuevo León,46,San Nicolás de los Garza,42,6,55,26,29,0,0,0,55,26,29,54,25,29,51,22,29,51,22,29,51,22,29,NaN,NaN,0,3,3,0,3,3,0,0,0,0,0,0,0,12,7,5,14,12,5,7,111.54,4,44,7,16,5,11,55,20,35
19,Nuevo León,46,San Nicolás de los Garza,42,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,8,12,5,7,0,0,0,12,5,7,12,5,7,12,5,7,12,5,7,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,140,0,10,NaN,6,NaN,4,12,5,7
19,Nuevo León,46,San Nicolás de los Garza,42,9,7,3,4,0,0,0,7,3,4,7,3,4,7,3,4,7,3,4,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,NaN,133.33,0,NaN,5,3,NaN,NaN,7,4,3
19,Nuevo León,46,San Nicolás de los Garza,42,10,92,43,49,NaN,NaN,NaN,90,42,48,88,41,47,83,38,45,81,38,43,78,36,42,3,NaN,NaN,4,NaN,NaN,6,NaN,4,NaN,0,NaN,3,NaN,NaN,14,6,8,20,17,11,6,113.95,11,67,14,31,11,20,92,29,63
19,Nuevo León,46,San Nicolás de los Garza,42,11,106,57,49,4,NaN,NaN,101,55,46,98,54,44,89,50,39,84,48,36,79,45,34,4,NaN,3,8,4,4,10,4,6,5,NaN,3,5,3,NaN,13,7,6,27,17,12,5,85.96,21,69,15,25,11,14,106,45,61
19,Nuevo León,46,San Nicolás de los Garza,42,12,37,17,20,NaN,NaN,0,36,16,20,36,16,20,35,16,19,33,16,17,33,16,17,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,4,NaN,NaN,10,6,NaN,4,117.65,4,30,3,16,8,8,37,17,20
19,Nuevo León,46,San Nicolás de los Garza,42,13,38,17,21,NaN,NaN,0,37,16,21,37,16,21,34,14,20,32,13,19,31,12,19,0,0,0,3,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,NaN,4,7,7,3,4,123.53,6,25,7,14,NaN,12,38,5,33
19,Nuevo León,46,San Nicolás de los Garza,42,14,42,20,22,NaN,0,NaN,41,20,21,40,19,21,36,17,19,36,17,19,34,16,18,NaN,NaN,0,4,NaN,NaN,4,NaN,NaN,0,0,0,NaN,NaN,NaN,6,3,3,10,11,5,6,110,6,25,11,13,NaN,12,42,NaN,41
19,Nuevo León,46,San Nicolás de los Garza,42,15,29,14,15,0,0,0,29,14,15,29,14,15,28,14,14,28,14,14,26,13,13,0,0,0,NaN,0,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN,0,NaN,5,7,5,NaN,107.14,NaN,27,NaN,10,4,6,29,8,21
19,Nuevo León,46,San Nicolás de los Garza,42,16,30,18,12,NaN,0,NaN,29,18,11,29,18,11,25,14,11,24,13,11,24,13,11,NaN,NaN,0,NaN,NaN,0,3,3,0,NaN,NaN,0,0,0,0,4,NaN,NaN,5,11,5,6,66.67,6,15,9,9,NaN,8,30,NaN,29
19,Nuevo León,46,San Nicolás de los Garza,42,17,66,35,31,NaN,0,NaN,65,35,30,64,34,30,61,32,29,60,31,29,58,30,28,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,9,4,5,12,15,9,6,88.57,6,49,11,23,11,12,66,36,30
19,Nuevo León,46,San Nicolás de los Garza,42,18,48,21,27,NaN,NaN,0,47,20,27,47,20,27,44,20,24,43,20,23,41,19,22,0,0,0,3,0,3,4,0,4,NaN,0,NaN,NaN,NaN,NaN,3,NaN,NaN,10,10,6,4,128.57,5,36,7,15,4,11,48,10,38
19,Nuevo León,46,San Nicolás de los Garza,42,19,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nuevo León,46,San Nicolás de los Garza,42,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,24,53,29,24,0,0,0,53,29,24,52,28,24,52,28,24,52,28,24,49,26,23,NaN,NaN,0,0,0,0,0,0,0,0,0,0,3,NaN,NaN,7,4,3,11,15,10,5,82.76,NaN,38,14,19,10,9,53,25,28
19,Nuevo León,46,San Nicolás de los Garza,42,25,47,18,29,NaN,NaN,NaN,45,17,28,45,17,28,42,16,26,42,16,26,42,16,26,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,4,NaN,3,6,13,6,7,161.11,5,35,7,14,4,10,47,19,28
19,Nuevo León,46,San Nicolás de los Garza,42,26,38,25,13,NaN,0,NaN,36,25,11,36,25,11,34,23,11,32,21,11,31,20,11,0,0,0,NaN,NaN,0,4,4,0,NaN,NaN,0,NaN,NaN,0,5,4,NaN,10,9,6,3,52,6,24,8,11,5,6,38,12,26
19,Nuevo León,46,San Nicolás de los Garza,42,27,88,45,43,NaN,NaN,NaN,86,44,42,83,43,40,79,43,36,74,40,34,70,37,33,3,NaN,NaN,4,0,4,9,3,6,5,3,NaN,4,3,NaN,10,5,5,22,25,12,13,95.56,14,55,19,29,10,19,88,26,62
19,Nuevo León,46,San Nicolás de los Garza,42,28,61,29,32,NaN,NaN,NaN,59,28,31,59,28,31,57,27,30,56,27,29,55,26,29,0,0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,0,NaN,NaN,NaN,0,8,4,4,14,19,10,9,110.34,5,45,11,22,6,16,61,20,41
19,Nuevo León,46,San Nicolás de los Garza,42,29,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nuevo León,46,San Nicolás de los Garza,42,30,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nuevo León,46,San Nicolás de los Garza,42,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,35,107,52,55,NaN,NaN,NaN,105,51,54,104,50,54,97,46,51,92,46,46,85,42,43,NaN,NaN,0,7,4,3,10,3,7,5,0,5,7,4,3,13,NaN,11,27,27,17,10,105.77,15,70,22,30,15,15,107,59,48
19,Nuevo León,46,San Nicolás de los Garza,42,36,61,32,29,0,0,0,60,32,28,60,32,28,57,31,26,56,31,25,54,30,24,0,0,0,3,NaN,NaN,3,0,3,NaN,0,NaN,NaN,NaN,NaN,4,NaN,3,12,29,14,15,90.63,4,33,23,24,10,14,61,25,36
19,Nuevo León,46,San Nicolás de los Garza,42,37,39,18,21,4,NaN,NaN,35,16,19,35,16,19,32,13,19,31,13,18,28,11,17,0,0,0,3,3,0,3,NaN,NaN,NaN,0,NaN,3,NaN,NaN,8,4,4,8,6,3,3,116.67,8,26,5,12,3,9,39,12,27
19,Nuevo León,46,San Nicolás de los Garza,42,38,76,36,40,0,0,0,76,36,40,72,36,36,65,32,33,62,29,33,59,27,32,7,0,7,4,4,0,6,6,0,3,3,0,3,NaN,NaN,5,NaN,3,17,17,9,8,111.11,14,52,10,28,8,20,76,20,56
19,Nuevo León,46,San Nicolás de los Garza,42,40,76,33,43,NaN,NaN,0,75,32,43,74,32,42,66,28,38,63,28,35,58,28,30,3,0,3,6,4,NaN,8,3,5,3,0,3,5,0,5,6,3,3,14,15,9,6,130.3,13,50,13,22,9,13,76,27,49
19,Nuevo León,46,San Nicolás de los Garza,42,41,30,15,15,0,0,0,30,15,15,30,15,15,28,14,14,27,14,13,27,14,13,0,0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,7,11,6,5,100,3,18,9,12,NaN,10,30,3,27
19,Nuevo León,46,San Nicolás de los Garza,42,42,79,42,37,NaN,0,NaN,78,42,36,75,40,35,67,35,32,64,34,30,63,34,29,4,NaN,NaN,7,5,NaN,10,6,4,3,NaN,NaN,NaN,0,NaN,7,4,3,15,24,16,8,88.1,15,46,18,29,11,18,79,28,51
19,Nuevo León,46,San Nicolás de los Garza,42,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,44,50,27,23,NaN,NaN,0,49,26,23,47,25,22,45,24,21,44,24,20,43,23,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,0,5,NaN,3,10,17,10,7,85.19,6,30,14,19,7,12,50,30,20
19,Nuevo León,46,San Nicolás de los Garza,42,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,51,79,41,38,7,NaN,5,72,39,33,67,39,28,59,33,26,57,32,25,57,32,25,8,NaN,6,5,4,NaN,4,3,NaN,NaN,NaN,NaN,0,0,0,13,9,4,18,16,11,5,92.68,22,48,9,23,7,16,79,24,55
19,Nuevo León,46,San Nicolás de los Garza,42,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,60,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nuevo León,46,San Nicolás de los Garza,42,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,42,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,57,1,32,17,15,NaN,0,NaN,31,17,14,30,17,13,28,15,13,27,14,13,25,14,11,NaN,0,NaN,NaN,NaN,0,3,3,0,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,5,13,8,5,88.24,5,16,11,13,4,9,32,7,25
19,Nuevo León,46,San Nicolás de los Garza,57,2,27,15,12,NaN,NaN,0,26,14,12,26,14,12,21,11,10,21,11,10,21,11,10,0,0,0,5,3,NaN,3,NaN,NaN,0,0,0,0,0,0,4,3,NaN,7,6,3,3,80,6,17,4,7,NaN,6,27,7,20
19,Nuevo León,46,San Nicolás de los Garza,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,57,4,29,16,13,0,0,0,29,16,13,29,16,13,27,15,12,27,15,12,27,15,12,0,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,6,9,6,3,81.25,NaN,19,8,11,5,6,29,15,14
19,Nuevo León,46,San Nicolás de los Garza,57,5,31,16,15,NaN,NaN,NaN,29,15,14,27,14,13,23,12,11,23,12,11,23,12,11,3,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,5,7,3,4,93.75,8,17,6,8,3,5,31,5,26
19,Nuevo León,46,San Nicolás de los Garza,57,6,46,20,26,NaN,0,NaN,45,20,25,45,20,25,42,19,23,40,19,21,38,17,21,0,0,0,3,NaN,NaN,5,NaN,4,NaN,0,NaN,NaN,NaN,0,5,4,NaN,13,13,5,8,130,6,29,11,18,6,12,46,13,33
19,Nuevo León,46,San Nicolás de los Garza,57,7,7,NaN,5,0,0,0,7,NaN,5,7,NaN,5,7,NaN,5,7,NaN,5,7,NaN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,3,NaN,NaN,250,0,4,3,3,NaN,NaN,7,3,4
19,Nuevo León,46,San Nicolás de los Garza,57,8,59,36,23,NaN,NaN,0,58,35,23,58,35,23,54,32,22,53,31,22,51,30,21,NaN,NaN,0,3,NaN,NaN,3,3,0,NaN,NaN,0,NaN,NaN,NaN,8,6,NaN,18,18,12,6,63.89,6,37,16,19,9,10,55,22,33
19,Nuevo León,46,San Nicolás de los Garza,57,9,14,8,6,0,0,0,14,8,6,14,8,6,14,8,6,13,8,5,11,7,4,0,0,0,0,0,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,3,NaN,NaN,7,NaN,NaN,NaN,75,NaN,11,NaN,5,4,NaN,14,10,4
19,Nuevo León,46,San Nicolás de los Garza,57,10,51,24,27,NaN,0,NaN,50,24,26,49,23,26,47,23,24,47,23,24,44,23,21,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,0,0,0,3,0,3,NaN,NaN,NaN,8,18,10,8,112.5,4,30,17,20,7,13,51,13,38
19,Nuevo León,46,San Nicolás de los Garza,57,11,25,14,11,0,0,0,25,14,11,25,14,11,25,14,11,25,14,11,23,12,11,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,5,12,8,4,78.57,0,19,6,11,6,5,25,12,13
19,Nuevo León,46,San Nicolás de los Garza,57,12,25,15,10,NaN,0,NaN,24,15,9,24,15,9,22,13,9,22,13,9,21,12,9,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,4,0,4,5,3,3,0,66.67,3,19,3,10,7,3,25,22,3
19,Nuevo León,46,San Nicolás de los Garza,57,13,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nuevo León,46,San Nicolás de los Garza,57,14,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nuevo León,46,San Nicolás de los Garza,57,15,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nuevo León,46,San Nicolás de los Garza,57,16,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nuevo León,46,San Nicolás de los Garza,57,17,16,6,10,0,0,0,16,6,10,15,6,9,15,6,9,14,5,9,14,5,9,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,7,4,3,166.67,NaN,8,6,4,0,4,16,0,16
19,Nuevo León,46,San Nicolás de los Garza,57,18,50,21,29,0,0,0,50,21,29,50,21,29,48,21,27,47,21,26,46,21,25,0,0,0,NaN,0,NaN,3,0,3,NaN,0,NaN,NaN,0,NaN,12,3,9,8,17,9,8,138.1,3,36,11,16,5,11,50,14,36
19,Nuevo León,46,San Nicolás de los Garza,57,19,32,16,16,NaN,0,NaN,31,16,15,31,16,15,28,16,12,27,16,11,27,16,11,0,0,0,3,0,3,4,0,4,NaN,0,NaN,0,0,0,NaN,0,NaN,11,8,4,4,100,5,22,5,11,4,7,32,10,22
19,Nuevo León,46,San Nicolás de los Garza,57,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,57,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Nuevo León,46,San Nicolás de los Garza,57,22,51,30,21,4,NaN,3,47,29,18,46,28,18,42,24,18,42,24,18,41,23,18,NaN,NaN,0,3,3,0,NaN,NaN,0,0,0,0,NaN,NaN,0,4,NaN,NaN,10,18,12,6,70,9,28,14,15,6,9,51,20,31
19,Nuevo León,46,San Nicolás de los Garza,57,23,35,16,19,0,0,0,35,16,19,35,16,19,33,16,17,32,15,17,32,15,17,0,0,0,NaN,0,NaN,3,NaN,NaN,NaN,NaN,0,0,0,0,7,NaN,5,5,12,6,6,118.75,3,25,7,13,3,10,35,7,28
19,Nuevo León,46,San Nicolás de los Garza,57,24,28,12,16,0,0,0,28,12,16,27,11,16,25,9,16,23,9,14,21,8,13,NaN,NaN,0,NaN,NaN,0,4,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,4,10,4,6,133.33,5,14,9,10,NaN,8,28,6,22
19,Nuevo León,46,San Nicolás de los Garza,57,25,46,20,26,4,NaN,NaN,42,18,24,41,17,24,39,16,23,38,16,22,37,15,22,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,0,8,3,5,11,9,NaN,7,130,8,33,5,19,3,16,46,6,40
19,Nuevo León,46,San Nicolás de los Garza,57,26,38,20,18,NaN,NaN,NaN,36,19,17,35,18,17,34,18,16,33,18,15,33,18,15,NaN,NaN,0,NaN,0,NaN,NaN,0,NaN,NaN,0,NaN,0,0,0,7,3,4,11,8,4,4,90,5,27,6,11,3,8,38,7,31
19,Nuevo León,46,San Nicolás de los Garza,57,27,11,6,5,0,0,0,11,6,5,11,6,5,11,6,5,11,6,5,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,6,3,3,83.33,0,6,5,6,NaN,4,11,3,8
19,Nuevo León,46,San Nicolás de los Garza,57,28,17,8,9,0,0,0,17,8,9,17,8,9,17,8,9,17,8,9,17,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,10,6,4,112.5,0,9,8,6,5,NaN,17,14,3
19,Nuevo León,46,San Nicolás de los Garza,57,29,58,35,23,NaN,NaN,0,57,34,23,56,33,23,53,30,23,53,30,23,51,29,22,NaN,NaN,0,3,3,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,7,4,3,11,19,12,7,65.71,5,34,19,23,11,12,58,25,33
19,Nuevo León,46,San Nicolás de los Garza,57,30,29,14,15,NaN,NaN,NaN,27,13,14,25,13,12,20,11,9,20,11,9,20,11,9,3,0,3,4,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,0,NaN,5,10,5,5,107.14,9,11,9,11,3,8,29,3,26
