CEF,NE,CM,NM,AGEB,PT,VVPH,P_15_MAS_EBI,P_15_24_NAE,PSDSP,PVH,VNDS,VNDL,VNDR,VNDT,P_15_MAS_A,P_6_14_NAE,VPT,VNDAP,VNDD,VNDEE,GRS
19,Nuevo León,46,San Nicolás de los Garza,31,1879,542,193,516,308,0,10,104,6,176,0,13,6,3,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,49,3007,958,80,713,453,0,62,288,119,411,3,35,6,3,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,70,1204,290,258,564,214,33,12,145,49,278,19,28,4,4,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,88,4664,1214,713,2297,875,12,280,553,372,845,28,31,23,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,95,3572,813,1419,2336,770,74,4,448,74,1238,161,181,39,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,106,955,241,66,326,133,3,0,23,3,55,3,9,0,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,113,4381,899,2248,3412,963,259,19,789,248,2066,236,135,112,0,0,4,Bajo
19,Nuevo León,46,San Nicolás de los Garza,120,3715,803,1825,3011,987,186,13,633,231,1670,148,236,55,4,0,4,Bajo
19,Nuevo León,46,San Nicolás de los Garza,138,2701,726,762,1446,530,26,37,219,96,509,42,37,7,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,145,4080,1067,308,1314,757,0,72,233,80,508,9,49,42,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,152,3940,987,926,2152,845,15,7,315,35,962,54,32,11,3,0,3,Bajo
19,Nuevo León,46,San Nicolás de los Garza,177,3007,637,1063,2194,841,123,37,377,103,1265,62,139,23,9,4,0,Bajo
