"YMD","Point.Forecast","Lo.99","Hi.99"
"2022.365",2900598.86074568,1022251.74114122,4778945.98035014
"2022.385",3351602.93608431,1473255.81647985,5229950.05568877
"2022.404",2386139.0096164,507791.890011937,4264486.12922086
"2022.423",2803125.0751388,924777.955534341,4681472.19474326
"2022.442",2064306.59010911,185959.470504646,3942653.70971357
"2022.462",2836736.7712886,958389.651684145,4715083.89089306
"2022.481",3160500.24226726,1282153.1226628,5038847.36187172
"2022.500",2429263.87768085,550916.758076389,4307610.99728531
"2022.519",2338671.58305772,460324.463453261,4217018.70266218
"2022.538",2152345.9219654,273998.802360944,4030693.04156986
"2022.558",2763760.51918337,885413.399578909,4642107.63878783
"2022.577",2846607.04267547,968259.923071007,4724954.16227993
"2022.596",2467704.4500598,589357.330455339,4346051.56966426
"2022.615",3026962.52561694,1148615.40601248,4905309.6452214
"2022.635",3276726.02142823,1398378.90182377,5155073.14103269
"2022.654",1974151.29028224,95804.1706777769,3852498.4098867
"2022.673",2210030.25339662,331683.133792162,4088377.37300108
"2022.692",2579226.07650709,700878.956902635,4457573.19611155
"2022.712",2358933.88031075,480586.760706288,4237280.99991521
"2022.731",3216021.21723224,1337674.09762778,5094368.3368367
"2022.750",1956319.82012273,77972.7005182719,3834666.93972719
"2022.769",2195617.88251596,317270.762911504,4073965.00212042
"2022.788",2666739.17523093,788392.055626466,4545086.29483538
"2022.808",2981724.83450792,1103377.71490346,4860071.95411238
"2022.827",2058950.4726314,180603.353026943,3937297.59223586
