"YMD","Point.Forecast","Lo.99","Hi.99"
"2022.365",4088371.01953632,1826776.47573518,6349965.56333746
"2022.385",4508582.16732178,2246987.62352064,6770176.71112292
"2022.404",3364735.47743386,1103140.93363272,5626330.021235
"2022.423",3845992.49040554,1584397.9466044,6107587.03420668
"2022.442",2925328.28972348,663733.745922341,5186922.83352462
"2022.462",3746273.76901096,1484679.22520982,6007868.3128121
"2022.481",4357619.27123732,2096024.72743618,6619213.81503846
"2022.500",3512991.87066223,1251397.32686109,5774586.41446338
"2022.519",3510767.49858259,1249172.95478145,5772362.04238373
"2022.538",3028637.21756556,767042.67376442,5290231.7613667
"2022.558",3616159.94114661,1354565.39734547,5877754.48494775
"2022.577",4165668.51670447,1904073.97290333,6427263.06050561
"2022.596",3763782.21515622,1502187.67135507,6025376.75895736
"2022.615",3773381.03560937,1511786.49180823,6034975.57941051
"2022.635",4390149.73953108,2128555.19572994,6651744.28333222
"2022.654",3079079.95541978,817485.411618634,5340674.49922092
"2022.673",3174437.44620719,912842.902406047,5436031.99000833
"2022.692",3828702.58601139,1567108.04221025,6090297.12981253
"2022.712",3363248.36912678,1101653.82532564,5624842.91292792
"2022.731",3974454.30017064,1712859.7563695,6236048.84397178
"2022.750",3118934.85548635,857340.311685205,5380529.39928749
"2022.769",3115066.27030037,853471.72649923,5376660.81410151
"2022.788",3796288.93375606,1534694.38995492,6057883.47755721
"2022.808",4111980.38353001,1850385.83972887,6373574.92733115
"2022.827",2972038.53491394,710443.9911128,5233633.07871508
