"YMD","Point.Forecast","Lo.99","Hi.99"
"2022.365",2987767.22065001,1278183.79257619,4697350.64872383
"2022.385",3761102.11680346,2051518.68872964,5470685.54487728
"2022.404",2713939.39850428,1004355.97043046,4423522.8265781
"2022.423",3217866.57920715,1508283.15113333,4927450.00728097
"2022.442",2579516.01418745,869932.586113627,4289099.44226127
"2022.462",3103021.76552208,1393438.33744826,4812605.1935959
"2022.481",3473568.28477804,1763984.85670422,5183151.71285185
"2022.500",2823797.19519339,1114213.76711957,4533380.62326721
"2022.519",2695554.99741456,985971.569340744,4405138.42548838
"2022.538",2650062.30901483,940478.880941011,4359645.73708865
"2022.558",3022855.0702151,1313271.64214128,4732438.49828892
"2022.577",3113886.04585708,1404302.61778326,4823469.4739309
"2022.596",2843943.92685616,1134360.49878234,4553527.35492998
"2022.615",3059867.82572629,1350284.39765247,4769451.25380011
"2022.635",3770274.64320496,2060691.21513114,5479858.07127878
"2022.654",2406104.39205453,696520.963980712,4115687.82012835
"2022.673",2469964.97625844,760381.548184616,4179548.40433225
"2022.692",2988207.84477246,1278624.41669864,4697791.27284628
"2022.712",2870887.02006273,1161303.59198891,4580470.44813655
"2022.731",3091696.13789851,1382112.70982469,4801279.56597233
"2022.750",2268304.99388823,558721.565814408,3977888.42196205
"2022.769",2437360.54886296,727777.120789143,4146943.97693678
"2022.788",2703644.5759085,994061.147834683,4413228.00398232
"2022.808",3344854.58364753,1635271.15557371,5054438.01172135
"2022.827",2278444.25427279,568860.826198968,3988027.68234661
