"YMD","Point.Forecast","Lo.99","Hi.99"
"2022.365",1267575.98843151,595396.858139463,1939755.11872355
"2022.385",1484386.16235404,804327.33159986,2164444.99310823
"2022.404",1083442.68724198,361293.757279696,1805591.61720427
"2022.423",1223417.33329336,490712.176501682,1956122.49008504
"2022.442",860489.117658406,126407.354266135,1594570.88105068
"2022.462",1063727.3223863,329637.539317679,1797817.10545492
"2022.481",1237824.82796792,503134.373525661,1972515.28241018
"2022.500",1130187.93182359,394357.704511803,1866018.15913539
"2022.519",1076013.21579548,338946.172985292,1813080.25860567
"2022.538",882727.785546217,144629.379061718,1620826.19203072
"2022.558",1114539.37756384,375714.946756965,1853363.80837071
"2022.577",1221924.81537771,482652.042443484,1961197.58831193
"2022.596",1041522.91865071,302003.67724473,1781042.16005669
"2022.615",1228384.5376139,488744.709333567,1968024.36589422
"2022.635",1339896.66490239,600205.120658231,2079588.20914656
"2022.654",935083.35067322,195373.110715128,1674793.59063131
"2022.673",1003784.39405321,264068.976637174,1743499.81146924
"2022.692",1192260.05480735,452543.826750335,1931976.28286437
"2022.712",960645.020207989,220928.790101291,1700361.25031469
"2022.731",1283987.08418922,544270.66897242,2023703.49940602
"2022.750",840331.560160465,100614.728316535,1580048.3920044
"2022.769",936090.593561656,196373.280245363,1675807.90687795
"2022.788",1137497.01571164,397779.286124432,1877214.74529885
"2022.808",1218205.85628045,478487.826043159,1957923.88651774
"2022.827",927749.752716814,188031.532881217,1667467.97255241
