"YMD","Point.Forecast","Lo.99","Hi.99"
"2022.365",14041633.8246588,12177960.6487699,15905307.0005477
"2022.385",14443428.6681135,12562691.8391165,16324165.4971105
"2022.404",14851840.7690852,12954193.7172435,16749487.8209269
"2022.423",15201142.3695894,13286734.4593516,17115550.2798273
"2022.442",14314752.6192497,12383729.3257084,16245775.9127911
"2022.462",14598848.8167245,12651351.8915364,16546345.7419126
"2022.481",14287216.9112722,12323384.5388343,16251049.2837101
"2022.500",15038183.4528674,13058150.3974733,17018216.5082614
"2022.519",14819977.2677168,12823875.0123523,16816079.5230812
"2022.538",13970984.2157239,11958941.0931024,15983027.3383455
"2022.558",14569158.6276862,12541299.9440727,16597017.3112998
"2022.577",14466662.4607867,12423110.6131145,16510214.308459
"2022.596",14659881.3092717,12600755.8960094,16719006.722534
"2022.615",14301532.9979935,12226950.9241867,16376115.0718002
"2022.635",14656606.9003911,12566682.4772652,16746531.3235171
"2022.654",14620625.9235907,12515470.963072,16725780.8841093
"2022.673",13634508.8717239,11514232.7762084,15754784.9672393
"2022.692",14372731.7495424,12237441.5972137,16508021.9018712
"2022.712",13320148.6510553,11169949.2770321,15470348.0250786
"2022.731",13971117.8372382,11806111.9108103,16136123.7636661
"2022.750",13695911.957716,11516200.0559074,15875623.8595245
"2022.769",13657035.0493892,11462715.7270699,15851354.3717084
"2022.788",13854927.4035163,11646097.2602681,16063757.5467644
"2022.808",13345580.818314,11122334.5622417,15568827.0743863
"2022.827",13279400.3900555,11041830.8987195,15516969.8813914
