"YMD","Point.Forecast","Lo.99","Hi.99"
"2022.365",33739225.0902989,29485493.290088,37992956.8905098
"2022.385",34595398.7202855,30340157.17038,38850640.270191
"2022.404",34540469.2911111,30143100.3529412,38937838.2292809
"2022.423",34651215.2277499,30235538.1167055,39066892.3387942
"2022.442",33659150.2312486,29205084.3786878,38113216.0838094
"2022.462",34403702.4854256,29911575.9412491,38895829.029602
"2022.481",33917036.1847016,29387168.7298149,38446903.6395883
"2022.500",34761458.2453192,30194161.7332907,39328754.7573478
"2022.519",34464428.1912982,29860006.8705745,39068849.5120219
"2022.538",32570330.7597839,27929081.5778629,37211579.9417048
"2022.558",33984418.9194681,29306631.8103076,38662206.0286287
"2022.577",33646244.4351792,28932202.5910103,38360286.2793481
"2022.596",34571303.5605348,29821283.6891531,39321323.4319166
"2022.615",33495645.478318,28709918.0468329,38281372.9098031
"2022.635",34819665.3069752,29998494.7729227,39640835.8410276
"2022.654",33378082.6895416,28521727.7201883,38234437.6588949
"2022.673",31655694.4757205,26764408.1563247,36546980.7951163
"2022.692",33373058.8369029,28447088.8686372,38299028.8051686
"2022.712",30699716.6570418,25739305.5452284,35660127.7688553
"2022.731",33489659.1457646,28495044.3790234,38484273.9125058
"2022.750",32093060.5811352,27064474.8020025,37121646.360268
"2022.769",31629229.086504,26566900.2540354,36691557.9189726
"2022.788",32453907.9631861,27358059.5080228,37549756.4183493
"2022.808",31664553.1812437,26535404.1535846,36793702.2089028
"2022.827",31725067.455439,26562832.6663305,36887302.2445476
