ID,Clee,NUE,RS,NCA,NPO,E,EP,TAH,NAH,L,TE,LAT,LON,FiDENUE
8633026,19046812110018391000000000U0,KATANIA ESTETICA INFANTIL,0,15,1,CENTRO Y PLAZA COMERCIAL,PISO 2,COLONIA,LA NOGALERA 1ER SECTOR,San Nicolás de los Garza,Fijo,25.76902432,-100.2780482,2019-11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7541217,19046812110017871000000000U2,SALON DE BELLEZA ESTETICA ARELY,0,15,1,CENTRO Y PLAZA COMERCIAL,PLANTA BAJA,COLONIA,PASEO SAN NICOLAS 1 SECTOR,San Nicolás de los Garza,Fijo,25.74242863,-100.2638214,2019-11
2976877,19046812110009881000000000U1,TRAVIESOS ESTETICA INFANTIL,0,15,1,CENTRO Y PLAZA COMERCIAL,PLANTA BAJA,COLONIA,RESIDENCIAL ANAHUAC,San Nicolás de los Garza,Fijo,25.74284434,-100.3124207,2014-12
2975454,19046541941000781000000000M8,ESTETICA Y VETERINARIA ACVET,0,17,1,CENTRO Y PLAZA COMERCIAL,PLANTA BAJA,COLONIA,RESIDENCIAL SAN NICOLAS,San Nicolás de los Garza,Fijo,25.75833683,-100.2649117,2014-12
7961970,19046812110015221000000000U2,ESTETICA BIYOING,2,15,1,CENTRO Y PLAZA COMERCIAL,PLANTA BAJA,COLONIA,CENTRO DE SAN NICOLAS,San Nicolás de los Garza,Fijo,25.74908647,-100.2880727,2019-11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8794161,19046468112000571000000000U0,ESTETICA AUTOMOTRIZ,0,1,1,0,0,COLONIA,NUEVO MUNDO,San Nicolás de los Garza,Fijo,25.71023625,-100.2469214,2019-11
9128949,19046468112000611000000000U4,LAVADO Y ESTETICA DE AUTOS,0,1,1,0,0,COLONIA,NUEVO MUNDO SECT 2,San Nicolás de los Garza,Fijo,25.71010001,-100.2469396,2019-11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8626314,19046621391000331000000000U3,SKINNY ESTETICA MEDICA,0,4,1,0,0,COLONIA,ROBLE,San Nicolás de los Garza,Fijo,25.74276606,-100.3071471,2019-11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3021697,19046621211001781000000000U8,ESTETICA DENTAL Y ORTODONCIA,0,6,1,0,0,COLONIA,SAN NICOLAS CENTRO,San Nicolás de los Garza,Fijo,25.75423619,-100.2939213,2010-07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3005403,19046621211001851001000000U9,ODONTOLOGIA ESTETICA Y ESPECIALIZADA,0,6,2,0,0,COLONIA,VILLAS DE SANTO DOMINGO,San Nicolás de los Garza,Fijo,25.75131293,-100.2582204,2010-07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2936432,19046811192000081000000000U6,ESTETICA AUTOMOTRIS SAI,0,10,1,0,0,COLONIA,VILLA UNIVERSIDAD,San Nicolás de los Garza,Fijo,25.7479486,-100.3055434,2010-07
8754343,19046811192000701000000000U9,ESTETICA AUTOMOTRIZ,0,10,1,0,0,COLONIA,VILLAS DE ORIENTE,San Nicolás de los Garza,Fijo,25.73074488,-100.242514,2019-11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3006402,19046811192000241000000000U6,KARMO ESTETICA AUTOMOTRIZ,0,10,1,0,0,COLONIA,LAS PUENTES 1ER SECTOR,San Nicolás de los Garza,Fijo,25.74486405,-100.2926011,2010-07
,,,,,,,,,,,,,,
2977126,19046811192000603000000000U7,TURBO WASH LAVADO Y ESTETICA AUTOMOTRIZ,0,10,3,0,0,COLONIA,CHAPULTEPEC,San Nicolás de los Garza,Fijo,25.74345719,-100.2933252,2014-12
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2979737,19046812990000251000000000U1,ESTETICA CANINA GREÑAS,0,14,1,0,0,COLONIA,INDUSTRIAS DEL VIDRIO 4 SECTOR,San Nicolás de los Garza,Fijo,25.70793646,-100.2547261,2014-12
,,,,,,,,,,,,,,
7541081,19046541941001161000000000U2,ESTETICA CANINA MANGO PET,0,14,1,0,0,COLONIA,LAS PUENTES SEGUNDO SECTOR,San Nicolás de los Garza,Fijo,25.74296508,-100.2865895,2019-11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3015200,19046812110009271000000000U5,AI ESTETICA,0,15,1,0,0,COLONIA,ANAHUAC,San Nicolás de los Garza,Fijo,25.73735093,-100.3043635,2010-07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7658096,19046812110020251000000000U2,ALMA ORTIZ ESTETICA,0,15,1,0,0,COLONIA,HACIENDA LOS MORALES 3 SECTOR,San Nicolás de los Garza,Fijo,25.71280255,-100.2438864,2019-11
,,,,,,,,,,,,,,
2975521,19046812110005911000000000U0,AVRIL ESTETICA,0,15,1,0,0,COLONIA,VICENTE GUERRERO,San Nicolás de los Garza,Fijo,25.75611492,-100.2527342,2014-12
7540665,19046812110017101000000000U4,BACKSTAGE ESTETICA,0,15,1,0,0,COLONIA,EL FUNDADOR,San Nicolás de los Garza,Fijo,25.75708866,-100.2761609,2019-11
7540839,19046812110017371000000000U3,BEAUTIFUL ESTETICA,0,15,1,0,0,COLONIA,CONSTITUYENTES DEL 17,San Nicolás de los Garza,Fijo,25.76357459,-100.2715955,2019-11
3026819,19046812110008961000000000U2,BELLA FRANCA ESTETICA,0,15,1,0,0,COLONIA,PEDREGAL DE SANTO DOMINGO,San Nicolás de los Garza,Fijo,25.73502718,-100.2636303,2010-07
2978422,19046812110013421000000000U0,CHICK SALON ESTETICA,0,15,1,0,0,COLONIA,VILLAS DE SAN CRISTOBAL 2DO SECT,San Nicolás de los Garza,Fijo,25.73370519,-100.2145354,2014-12
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7678635,19046812110015461000000000U4,ESTETICA,0,15,1,0,0,COLONIA,RESIDENCIAL SAN CRISTOBAL,San Nicolás de los Garza,Fijo,25.73418971,-100.2169301,2019-11
7678680,19046812110015481000000000U2,ESTETICA,0,15,1,0,0,COLONIA,VILLAS DE SAN CRISTOBAL,San Nicolás de los Garza,Fijo,25.73238229,-100.2131251,2019-11
7679084,19046812110015491000000000U1,ESTETICA,0,15,1,0,0,COLONIA,LOS ANGELES PRIMER SECTOR,San Nicolás de los Garza,Fijo,25.72972408,-100.2328233,2019-11
7656557,19046812110019631000000000U8,ESTETICA,0,15,1,0,0,COLONIA,CONSTITUYENTES DE QUERETARO SECT 2,San Nicolás de los Garza,Fijo,25.71638705,-100.2608299,2019-11
7656740,19046812110019691000000000U2,ESTETICA,0,15,1,0,0,COLONIA,PASEO DEL NOGALAR,San Nicolás de los Garza,Fijo,25.72429363,-100.2695906,2019-11
7656893,19046812110019751000000000U4,ESTETICA,0,15,1,0,0,COLONIA,VILLAS DE ORIENTE,San Nicolás de los Garza,Fijo,25.73055042,-100.2454021,2019-11
7656959,19046812110019781000000000U1,ESTETICA,0,15,1,0,0,COLONIA,VILLAS DE ORIENTE,San Nicolás de los Garza,Fijo,25.7286318,-100.2419971,2019-11
7657128,19046812110019841000000000U3,ESTETICA,0,15,1,0,0,COLONIA,ANDALUCIA,San Nicolás de los Garza,Fijo,25.72256175,-100.2423947,2019-11
7657311,19046812110019891000000000U8,ESTETICA,0,15,1,0,0,COLONIA,CONSTITUYENTES DE QUERETARO,San Nicolás de los Garza,Fijo,25.72152213,-100.2555587,2019-11
7657914,19046812110020131000000000U6,ESTETICA,0,15,1,0,0,COLONIA,BOSQUES DEL NOGALAR 2DO SECT,San Nicolás de los Garza,Fijo,25.71339745,-100.2766246,2019-11
2977046,19046812110013891000000000U4,ESTETICA,0,15,1,0,0,COLONIA,CENTRO,San Nicolás de los Garza,Fijo,25.75091908,-100.2864572,2014-12
8642381,19046812110016521000000000U4,ESTETICA,0,15,1,0,0,COLONIA,PEÑA GUERRA,San Nicolás de los Garza,Fijo,25.71729491,-100.2558504,2019-11
8830119,19046812110016721000000000U0,ESTETICA,0,15,1,0,0,COLONIA,VALLE DE SANTO DOMINGO FOMERREY 34,San Nicolás de los Garza,Fijo,25.74577654,-100.2577225,2019-11
8684212,19046812110014211000000000U4,ESTETICA,0,15,1,0,0,COLONIA,FLORIDOS BOSQUES DEL NOGALAR (FOMERREY 90),San Nicolás de los Garza,Fijo,25.72350924,-100.2691716,2019-11
8684507,19046812110014331000000000U0,ESTETICA,0,15,1,0,0,COLONIA,ANDALUCIA,San Nicolás de los Garza,Fijo,25.72359021,-100.2428638,2019-11
