"Edades","Mujeres","Hombres","Total"
"Menos de 12 años",25824,26794,52618
"12 a 17 años",14761,15500,30261
"18 a 24 años",23372,25062,48434
"25 a 29 años",16216,18094,34310
"30 a 34 años",14205,15484,29689
"35 a 39 años",12290,12895,25185
"40 a 44 años",11894,11908,23802
"45 a 49 años",13119,11929,25048
"50 a 54 años",15529,12956,28485
"55 a 59 años",16324,13983,30307
"60 a 64 años",15643,13588,29231
"65 años o más",30034,24732,54766
"Edad desconocida",30,33,63
"Total",209241,202958,412199
